season,player,team,position,G,A,P,+/-,PIM,PPP,SHP,GWG,SOG,FW,HIT,BLK,GP
2023/24,Dylan Cozens,BUF,C,18,29,47,-4,42,0,0,0,200,0,108,27,0
2023/24,Phillip Danault,LAK,C,17,30,47,12,18,0,0,0,159,0,80,60,0
2023/24,Max Domi,TOR,LW,9,38,47,10,118,0,0,0,137,0,53,22,0
2023/24,Brock Faber,MIN,D,8,39,47,-1,26,0,0,0,136,0,65,150,0
2023/24,Conor Garland,VAN,RW,20,27,47,19,35,0,0,0,200,0,53,34,0
2023/24,Thomas Harley,DAL,D,15,32,47,28,18,0,0,0,144,0,67,135,0
2023/24,Luke Hughes,NJD,D,9,38,47,-25,28,0,0,0,135,0,24,55,0
2023/24,Patrick Kane,DET,RW,20,27,47,-5,16,0,0,0,147,0,14,13,0
2023/24,Charlie McAvoy,BOS,D,12,35,47,4,86,0,0,0,133,0,159,159,0
2023/24,David Perron,DET,LW,17,30,47,-12,55,0,0,0,151,0,111,27,0
2023/24,Brady Skjei,CAR,D,13,34,47,15,40,0,0,0,185,0,69,90,0
2023/24,Noah Hanifin,2TM,D,13,34,47,19,24,0,0,0,164,0,63,121,0
2023/24,Noah Hanifin,CGY,D,11,24,35,13,22,0,0,0,123,0,46,89,0
2023/24,Noah Hanifin,VEG,D,2,10,12,6,2,0,0,0,41,0,17,32,0
2023/24,Vince Dunn,SEA,D,11,35,46,8,78,0,0,0,120,0,39,64,0
2023/24,Nick Paul,TBL,LW,24,22,46,-16,27,0,0,0,153,0,104,42,0
2023/24,Brayden Schenn,STL,C,20,26,46,-22,56,0,0,0,170,0,169,51,0
2023/24,Jeff Skinner,BUF,LW,24,22,46,-2,34,0,0,0,211,0,26,13,0
2023/24,Andrei Kuzmenko,2TM,F,22,24,46,-9,12,0,0,0,121,0,14,17,0
2023/24,Andrei Kuzmenko,VAN,F,8,13,21,-1,6,0,0,0,63,0,9,10,0
2023/24,Andrei Kuzmenko,CGY,F,14,11,25,-8,6,0,0,0,58,0,5,7,0
2023/24,Ivan Barbashev,VEG,C,19,26,45,15,42,0,0,0,122,0,180,44,0
2023/24,Nick Bjugstad,ARI,C,22,23,45,11,59,0,0,0,165,0,118,48,0
2023/24,Anthony Cirelli,TBL,C,20,25,45,2,38,0,0,0,129,0,64,75,0
2023/24,Mattias Ekholm,EDM,D,11,34,45,44,47,0,0,0,177,0,136,93,0
2023/24,William Eklund,SJS,LW,16,29,45,-45,30,0,0,0,128,0,39,72,0
2023/24,Ryan Hartman,MIN,RW,21,24,45,4,72,0,0,0,173,0,75,65,0
2023/24,Alexander Kerfoot,ARI,C,13,32,45,-15,26,0,0,0,103,0,73,76,0
2023/24,Thomas Novak,NSH,C,18,27,45,-3,8,0,0,0,113,0,5,31,0
2023/24,Logan Cooley,ARI,C,20,24,44,-13,18,0,0,0,151,0,50,27,0
2023/24,Jordan Eberle,SEA,RW,17,27,44,1,17,0,0,0,168,0,30,23,0
2023/24,Evander Kane,EDM,LW,24,20,44,-4,85,0,0,0,220,0,250,29,0
2023/24,Travis Sanheim,PHI,D,10,34,44,-20,48,0,0,0,146,0,94,149,0
2023/24,Fabian Zetterlund,SJS,W,24,20,44,-34,33,0,0,0,204,0,120,71,0
2023/24,Anthony Mantha,2TM,RW,23,21,44,11,25,0,0,0,113,0,55,31,0
2023/24,Anthony Mantha,WSH,RW,20,14,34,5,17,0,0,0,90,0,31,21,0
2023/24,Anthony Mantha,VEG,RW,3,7,10,6,8,0,0,0,23,0,24,10,0
2023/24,Elias Lindholm,2TM,C,15,29,44,-14,25,0,0,0,173,0,89,61,0
2023/24,Elias Lindholm,CGY,C,9,23,32,-8,21,0,0,0,131,0,56,40,0
2023/24,Elias Lindholm,VAN,C,6,6,12,-6,4,0,0,0,42,0,33,21,0
