Player Name,Season,Goals,Assists,Points,Plus/Minus,Penalty Minutes,Power Play Points,Shorthanded Points,Game-Winning Goals,Shots on Goal,Hits,Blocks,Faceoffs Won
Andrei Kuzmenko,2023/24,22,24,46,-9,12,19,0,4,121,14,17,1
Andrei Kuzmenko,2023/24,8,13,21,-1,6,7,0,2,63,9,10,1
Andrei Kuzmenko,2023/24,14,11,25,-8,6,12,0,2,58,5,7,0
Ivan Barbashev,2023/24,19,26,45,15,42,5,0,3,122,180,44,37
Nick Bjugstad,2023/24,22,23,45,11,59,6,1,2,165,118,48,617
Anthony Cirelli,2023/24,20,25,45,2,38,7,2,3,129,64,75,460
Mattias Ekholm,2023/24,11,34,45,44,47,3,1,3,177,136,93,0
William Eklund,2023/24,16,29,45,-45,30,16,1,5,128,39,72,72
Ryan Hartman,2023/24,21,24,45,4,72,10,0,3,173,75,65,371
Alexander Kerfoot,2023/24,13,32,45,-15,26,12,3,3,103,73,76,412
Thomas Novak,2023/24,18,27,45,-3,8,12,0,1,113,5,31,211
Logan Cooley,2023/24,20,24,44,-13,18,13,1,2,151,50,27,262
Jordan Eberle,2023/24,17,27,44,1,17,12,0,3,168,30,23,31
Evander Kane,2023/24,24,20,44,-4,85,7,1,3,220,250,29,35
Travis Sanheim,2023/24,10,34,44,-20,48,5,4,3,146,94,149,0
Fabian Zetterlund,2023/24,24,20,44,-34,33,16,1,0,204,120,71,28
Anthony Mantha,2023/24,23,21,44,11,25,8,0,0,113,55,31,3
Anthony Mantha,2023/24,20,14,34,5,17,7,0,0,90,31,21,2
Anthony Mantha,2023/24,3,7,10,6,8,1,0,0,23,24,10,1
Elias Lindholm,2023/24,15,29,44,-14,25,12,3,4,173,89,61,753
Elias Lindholm,2023/24,9,23,32,-8,21,9,2,3,131,56,40,547
Elias Lindholm,2023/24,6,6,12,-6,4,3,1,1,42,33,21,206
Tyler Bertuzzi,2023/24,21,22,43,2,53,6,0,2,160,98,44,4
Brent Burns,2023/24,10,33,43,19,20,20,1,0,185,41,87,0
Daniel Sprong,2023/24,18,25,43,-5,22,12,0,1,160,32,15,8
Lawson Crouse,2023/24,23,19,42,-7,36,10,1,2,171,175,57,28
Kirill Marchenko,2023/24,23,19,42,-5,14,13,0,1,193,55,39,26
Mason McTavish,2023/24,19,23,42,-23,86,8,2,3,130,67,33,437
Brandon Saad,2023/24,26,16,42,-4,20,5,0,7,144,17,16,12
Moritz Seider,2023/24,9,33,42,-7,51,17,1,0,135,211,213,0
Shea Theodore,2023/24,5,37,42,4,6,15,0,1,105,9,78,0
Anthony Duclair,2023/24,24,18,42,-8,34,12,0,1,129,49,35,17
Anthony Duclair,2023/24,16,11,27,-12,28,10,0,1,98,35,28,12
Anthony Duclair,2023/24,8,7,15,4,6,2,0,0,31,14,7,5
Sam Bennett,2023/24,20,21,41,17,100,12,0,2,171,173,43,390
Jakob Chychrun,2023/24,14,27,41,-30,60,16,0,2,204,72,154,0
Sean Durzi,2023/24,9,32,41,-1,63,16,0,1,142,44,160,0
Warren Foegele,2023/24,20,21,41,3,47,1,2,2,201,89,32,5
Morgan Frost,2023/24,13,28,41,4,22,11,0,1,135,57,55,407
Nicolas Roy,2023/24,13,28,41,8,29,7,1,2,112,77,35,359
Ryan Strome,2023/24,11,30,41,-20,86,15,0,0,131,64,21,224
Eeli Tolvanen,2023/24,16,25,41,-15,24,10,0,3,153,210,75,12
Ross Colton,2023/24,17,23,40,-8,61,5,0,2,146,141,46,423
Jake DeBrusk,2023/24,19,21,40,4,18,10,2,3,183,107,48,7
Pierre-Luc Dubois,2023/24,16,24,40,-9,70,8,0,4,146,96,37,440
Trent Frederic,2023/24,18,22,40,9,69,2,0,1,123,204,52,132
Andrew Mangiapane,2023/24,14,26,40,7,47,3,1,0,122,89,33,5
Marco Rossi,2023/24,21,19,40,-4,47,6,0,2,167,35,37,335
Reilly Smith,2023/24,13,27,40,3,18,8,0,3,152,55,28,5
Rasmus Andersson,2023/24,9,30,39,-11,47,8,1,3,159,42,186,0
Mikael Backlund,2023/24,15,24,39,-4,24,3,2,2,209,70,33,778
Luke Evangelista,2023/24,16,23,39,0,18,10,0,1,172,30,23,1
Gustav Forsling,2023/24,10,29,39,56,43,2,0,1,160,111,102,0
Cam Fowler,2023/24,5,34,39,-36,24,18,1,0,109,41,119,0
Morgan Geekie,2023/24,17,22,39,6,28,12,0,1,130,137,50,291
Torey Krug,2023/24,4,35,39,-31,32,13,0,2,162,64,111,0
Scott Laughton,2023/24,13,26,39,-9,69,5,8,2,167,155,56,478
Evan Rodrigues,2023/24,12,27,39,26,34,10,0,1,186,104,28,29
